,0
0,Alabama
1,California
2,Massachusetts
3,Michigan
4,Minnesota
5,Mississippi
6,Missouri
7,New Jersey
8,North Carolina
9,Oklahoma
10,Pennsylvania
11,South Carolina
12,Tennessee
13,Vermont
14,Virginia
15,Washington
16,West Virginia
17,Wisconsin
